TRUE "c(52.509252, 13.215639)"
FALSE "c(52.592815, 13.474276)"
FALSE "c(52.47361, 13.428087)"
FALSE "c(52.538468, 13.580322)"
TRUE "c(52.421523, 13.390237)"
FALSE "c(52.444769, 13.423764)"
FALSE "c(52.431071, 13.309266)"
FALSE "c(52.401352, 13.417588)"
FALSE "c(52.49657, 13.392498)"
FALSE "c(52.501152, 13.281702)"
FALSE "c(52.40902, 13.481254)"
FALSE "c(52.435785, 13.385821)"
FALSE "c(52.43671, 13.309009)"
TRUE "c(52.50964, 13.549093)"
FALSE "c(52.563659, 13.453952)"
FALSE "c(52.557035, 13.379708)"
FALSE "c(52.420889, 13.398043)"
TRUE "c(52.427663, 13.313212)"
TRUE "c(52.409292, 13.322738)"
FALSE "c(52.540768, 13.447225)"
FALSE "c(52.52977, 13.41781)"
TRUE "c(52.417159, 13.426496)"
FALSE "c(52.614385, 13.309858)"
TRUE "c(52.622634, 13.306829)"
FALSE "c(52.525514, 13.405548)"
FALSE "c(52.539291, 13.50432)"
FALSE "c(52.435541, 13.387424)"
FALSE "c(52.424538, 13.431834)"
FALSE "c(52.509635, 13.357634)"
TRUE "c(52.534155, 13.260687)"
FALSE "c(52.464854, 13.349503)"
TRUE "c(52.569283, 13.544829)"
TRUE "c(52.542027, 13.39967)"
FALSE "c(52.576427, 13.432496)"
TRUE "c(52.459526, 13.273426)"
FALSE "c(52.572494, 13.417191)"
TRUE "c(52.467139, 13.590085)"
FALSE "c(52.414721, 13.30356)"
FALSE "c(52.426393, 13.482828)"
FALSE "c(52.570804, 13.39898)"
TRUE "c(52.455412, 13.642824)"
TRUE "c(52.435616, 13.334456)"
TRUE "c(52.474416, 13.299963)"
FALSE "c(52.529012, 13.566803)"
FALSE "c(52.407233, 13.414149)"
FALSE "c(52.407757, 13.661711)"
FALSE "c(52.566411, 13.380718)"
TRUE "c(52.419479, 13.350623)"
TRUE "c(52.451127, 13.483582)"
FALSE "c(52.450883, 13.255644)"
