66	42
166	109
91	131
191	198
35	97
135	163
185	119
22	185
122	15
97	171
106	193
156	89
31	156
131	45
19	67
119	134
13	156
113	45
63	112
163	178
38	8
88	141
125	164
75	52
100	82
101	104
151	60
26	127
76	3
176	70
13	136
163	159
38	48
138	114
88	181
7	77
57	33
157	99
82	122
182	188
119	85
169	40
44	107
144	173
154	139
129	94
179	50
166	80
91	102
191	169
110	124
35	87
135	154
185	109
73	131
148	68
198	24
2	90
102	157
52	46
152	113
127	9
177	142
40	120
140	187
90	16
9	150
59	105
159	172
134	127
84	194
21	71
171	93
146	48
105	78
130	167
180	122
118	19
68	85
168	152
43	41
193	63
112	196
62	6
162	73
137	29
87	95
187	162
24	51
124	117
74	184
149	147
99	36
2	169
102	58
52	125
77	155
64	66
164	132
39	199
